stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
1,The Big Sick,1,1,1,74,2557,1.2166618,42.6164962,1,2484,0,41.3998344,0,41.3998344,1,2484
1,The Big Sick,1,2,2,2558,5872,42.6164962,97.8662752,2485,5799,41.3998344,96.6496134,41.3998344,96.6496134,2485,5799
1,The Big Sick,1,3,3,5873,7603,97.8662752,126.7161598,5800,7530,96.6496134,125.499498,96.6496134,125.499498,5800,7530
1,The Big Sick,1,4,4,7604,18064,126.7161598,301.0654624,7531,17991,125.499498,299.8488006,125.499498,299.8488006,7531,17991
1,The Big Sick,1,5,5,18065,25860,301.0654624,430.998276,17992,25787,299.8488006,429.7816142,299.8488006,429.7816142,17992,25787
1,The Big Sick,1,6,6,25861,31269,430.998276,521.1479154,25788,31196,429.7816142,519.9312536,429.7816142,519.9312536,25788,31196
1,The Big Sick,1,7,7,31270,32836,521.1479154,547.2644776,31197,32763,519.9312536,546.0478158,519.9312536,546.0478158,31197,32763
1,The Big Sick,2,8,9,88,8223,1.4499942,137.0494518,15,8150,0.2333324,135.83279,546.5311472,682.1306048,32792,40927
1,The Big Sick,2,9,10,8224,13356,137.0494518,222.5991096,8151,13283,135.83279,221.3824478,682.1306048,767.6802626,40928,46060
1,The Big Sick,2,10,11,13357,19824,222.5991096,330.3986784,13284,19751,221.3824478,329.1820166,767.6802626,875.4798314,46061,52528
1,The Big Sick,2,11,12,19825,21286,330.3986784,354.7652476,19752,21213,329.1820166,353.5485858,875.4798314,899.8464006,52529,53990
1,The Big Sick,2,12,13,21287,26451,354.7652476,440.8482366,21214,26378,353.5485858,439.6315748,899.8464006,985.9293896,53991,59155
1,The Big Sick,2,13,14,26452,27052,440.8482366,450.8648632,26379,26979,439.6315748,449.6482014,985.9293896,995.9460162,59156,59756
1,The Big Sick,2,14,15,27053,27976,450.8648632,466.2648016,26980,27903,449.6482014,465.0481398,995.9460162,1011.3459546,59757,60680
1,The Big Sick,2,15,16,27977,33255,466.2648016,554.247783,27904,33182,465.0481398,553.0311212,1011.3459546,1099.328936,60681,65959
1,The Big Sick,3,16,18,89,4107,1.4666608,68.4497262,16,4034,0.249999,67.2330644,1102.245591,1169.2286564,66134,70152
1,The Big Sick,3,17,19,4108,4630,68.4497262,77.166358,4035,4557,67.2330644,75.9496962,1169.2286564,1177.9452882,70153,70675
1,The Big Sick,3,18,20,4631,5871,77.166358,97.8496086,4558,5798,75.9496962,96.6329468,1177.9452882,1198.6285388,70676,71916
1,The Big Sick,3,19,21,5872,8746,97.8496086,145.7660836,5799,8673,96.6329468,144.5494218,1198.6285388,1246.5450138,71917,74791
1,The Big Sick,3,20,22,8747,14371,145.7660836,239.5157086,8674,14298,144.5494218,238.2990468,1246.5450138,1340.2946388,74792,80416
1,The Big Sick,3,21,23,14372,17643,239.5157086,294.0488238,14299,17570,238.2990468,292.832162,1340.2946388,1394.827754,80417,83688
1,The Big Sick,3,22,24,17644,23275,294.0488238,387.915115,17571,23202,292.832162,386.6984532,1394.827754,1488.6940452,83689,89320
1,The Big Sick,3,23,25,23276,24376,387.915115,406.2650416,23203,24303,386.6984532,405.0483798,1488.6940452,1507.0439718,89321,90421
1,The Big Sick,3,24,26,24377,25903,406.2650416,431.7149398,24304,25830,405.0483798,430.498278,1507.0439718,1532.49387,90422,91948
1,The Big Sick,3,25,27,25904,33091,431.7149398,551.5144606,25831,33018,430.498278,550.2977988,1532.49387,1652.2933908,91949,99136
1,The Big Sick,4,26,29,86,8014,1.416661,133.5661324,13,7941,0.1999992,132.3494706,1655.0433798,1787.1928512,99301,107229
1,The Big Sick,4,27,30,8015,8383,133.5661324,139.7161078,7942,8310,132.3494706,138.499446,1787.1928512,1793.3428266,107230,107598
1,The Big Sick,4,28,31,8384,11814,139.7161078,196.8992124,8311,11741,138.499446,195.6825506,1793.3428266,1850.5259312,107599,111029
1,The Big Sick,4,29,32,11815,24111,196.8992124,401.8483926,11742,24038,195.6825506,400.6317308,1850.5259312,2055.4751114,111030,123326
1,The Big Sick,4,30,33,24112,24835,401.8483926,413.915011,24039,24762,400.6317308,412.6983492,2055.4751114,2067.5417298,123327,124050
1,The Big Sick,4,31,34,24836,28501,413.915011,475.0147666,24763,28428,412.6983492,473.7981048,2067.5417298,2128.6414854,124051,127716
1,The Big Sick,4,32,35,28502,32691,475.0147666,544.8478206,28429,32618,473.7981048,543.6311588,2128.6414854,2198.4745394,127717,131906
1,The Big Sick,4,33,36,32692,34507,544.8478206,575.1143662,32619,34434,543.6311588,573.8977044,2198.4745394,2228.741085,131907,133722
1,The Big Sick,5,34,38,86,3193,1.416661,53.2164538,13,3120,0.1999992,51.999792,2229.0244172,2280.82421,133739,136846
1,The Big Sick,5,35,39,3194,5260,53.2164538,87.666316,3121,5187,51.999792,86.4496542,2280.82421,2315.2740722,136847,138913
1,The Big Sick,5,36,40,5261,6168,87.666316,102.7995888,5188,6095,86.4496542,101.582927,2315.2740722,2330.407345,138914,139821
1,The Big Sick,5,37,41,6169,11473,102.7995888,191.2159018,6096,11400,101.582927,189.99924,2330.407345,2418.823658,139822,145126
1,The Big Sick,5,38,42,11474,14613,191.2159018,243.5490258,11401,14540,189.99924,242.332364,2418.823658,2471.156782,145127,148266
1,The Big Sick,5,39,43,14614,15996,243.5490258,266.5989336,14541,15923,242.332364,265.3822718,2471.156782,2494.2066898,148267,149649
1,The Big Sick,5,40,44,15997,20941,266.5989336,349.0152706,15924,20868,265.3822718,347.7986088,2494.2066898,2576.6230268,149650,154594
1,The Big Sick,5,41,45,20942,23728,349.0152706,395.4650848,20869,23655,347.7986088,394.248423,2576.6230268,2623.072841,154595,157381
1,The Big Sick,5,42,46,23729,28068,395.4650848,467.7981288,23656,27995,394.248423,466.581467,2623.072841,2695.405885,157382,161721
1,The Big Sick,5,43,47,28069,31792,467.7981288,529.8645472,27996,31719,466.581467,528.6478854,2695.405885,2757.4723034,161722,165445
1,The Big Sick,6,44,49,212,4042,3.5166526,67.3663972,139,3969,2.2999908,66.1497354,2761.905619,2825.7553636,165711,169541
1,The Big Sick,6,45,50,4043,9130,67.3663972,152.166058,3970,9057,66.1497354,150.9493962,2825.7553636,2910.5550244,169542,174629
1,The Big Sick,6,46,51,9131,16345,152.166058,272.415577,9058,16272,150.9493962,271.1989152,2910.5550244,3030.8045434,174630,181844
1,The Big Sick,6,47,52,16346,19843,272.415577,330.7153438,16273,19770,271.1989152,329.498682,3030.8045434,3089.1043102,181845,185342
1,The Big Sick,6,48,53,19844,20350,330.7153438,339.16531,19771,20277,329.498682,337.9486482,3089.1043102,3097.5542764,185343,185849
1,The Big Sick,6,49,54,20351,34671,339.16531,577.8476886,20278,34598,337.9486482,576.6310268,3097.5542764,3336.236655,185850,200170
1,The Big Sick,7,50,56,197,1797,3.2666536,29.9498802,124,1724,2.0499918,28.7332184,3338.3533132,3365.0365398,200297,201897
1,The Big Sick,7,51,57,1798,4741,29.9498802,79.0163506,1725,4668,28.7332184,77.7996888,3365.0365398,3414.1030102,201898,204841
1,The Big Sick,7,52,58,4742,7953,79.0163506,132.5494698,4669,7880,77.7996888,131.332808,3414.1030102,3467.6361294,204842,208053
1,The Big Sick,7,53,59,7954,15604,132.5494698,260.0656264,7881,15531,131.332808,258.8489646,3467.6361294,3595.152286,208054,215704
1,The Big Sick,7,54,60,15605,15940,260.0656264,265.665604,15532,15867,258.8489646,264.4489422,3595.152286,3600.7522636,215705,216040
1,The Big Sick,7,55,61,15941,35884,265.665604,598.0642744,15868,35811,264.4489422,596.8476126,3600.7522636,3933.150934,216041,235984
1,The Big Sick,8,56,63,86,2568,1.416661,42.7998288,13,2495,0.1999992,41.583167,3933.6009322,3974.9841,236011,238493
1,The Big Sick,8,57,64,2569,3793,42.7998288,63.2164138,2496,3720,41.583167,61.999752,3974.9841,3995.400685,238494,239718
1,The Big Sick,8,58,65,3794,5689,63.2164138,94.8162874,3721,5616,61.999752,93.5996256,3995.400685,4027.0005586,239719,241614
1,The Big Sick,8,59,66,5690,9909,94.8162874,165.1493394,5617,9836,93.5996256,163.9326776,4027.0005586,4097.3336106,241615,245834
1,The Big Sick,8,60,67,9910,16617,165.1493394,276.9488922,9837,16544,163.9326776,275.7322304,4097.3336106,4209.1331634,245835,252542
1,The Big Sick,8,61,68,16618,19156,276.9488922,319.2653896,16545,19083,275.7322304,318.0487278,4209.1331634,4251.4496608,252543,255081
1,The Big Sick,8,62,69,19157,20851,319.2653896,347.5152766,19084,20778,318.0487278,346.2986148,4251.4496608,4279.6995478,255082,256776
