stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
2,The Peanut Butter Falcon,1,1,1,74,3433,1.2166618,57.2164378,1,3360,0,55.999776,0,55.999776,1,3360
2,The Peanut Butter Falcon,1,2,2,3434,8371,57.2164378,139.5161086,3361,8298,55.999776,138.2994468,55.999776,138.2994468,3361,8298
2,The Peanut Butter Falcon,1,3,3,8372,8694,139.5161086,144.8994204,8299,8621,138.2994468,143.6827586,138.2994468,143.6827586,8299,8621
2,The Peanut Butter Falcon,1,4,4,8695,12127,144.8994204,202.1158582,8622,12054,143.6827586,200.8991964,143.6827586,200.8991964,8622,12054
2,The Peanut Butter Falcon,1,5,5,12128,21792,202.1158582,363.1985472,12055,21719,200.8991964,361.9818854,200.8991964,361.9818854,12055,21719
2,The Peanut Butter Falcon,1,6,6,21793,24817,363.1985472,413.6150122,21720,24744,361.9818854,412.3983504,361.9818854,412.3983504,21720,24744
2,The Peanut Butter Falcon,1,7,7,24818,28636,413.6150122,477.2647576,24745,28563,412.3983504,476.0480958,412.3983504,476.0480958,24745,28563
2,The Peanut Butter Falcon,1,8,8,28637,29812,477.2647576,496.8646792,28564,29739,476.0480958,495.6480174,476.0480958,495.6480174,28564,29739
2,The Peanut Butter Falcon,2,9,10,85,7524,1.3999944,125.3994984,12,7451,0.1833326,124.1828366,496.081349,620.080853,29765,37204
2,The Peanut Butter Falcon,2,10,11,7525,14362,125.3994984,239.3657092,7452,14289,124.1828366,238.1490474,620.080853,734.0470638,37205,44042
2,The Peanut Butter Falcon,2,11,12,14363,17286,239.3657092,288.0988476,14290,17213,238.1490474,286.8821858,734.0470638,782.7802022,44043,46966
2,The Peanut Butter Falcon,2,12,13,17287,34828,288.0988476,580.4643448,17214,34755,286.8821858,579.247683,782.7802022,1075.1456994,46967,64508
2,The Peanut Butter Falcon,3,13,15,86,3985,1.416661,66.416401,13,3912,0.1999992,65.1997392,1075.8456966,1140.8454366,64550,68449
2,The Peanut Butter Falcon,3,14,16,3986,12529,66.416401,208.8158314,3913,12456,65.1997392,207.5991696,1140.8454366,1283.244867,68450,76993
2,The Peanut Butter Falcon,3,15,17,12530,13399,208.8158314,223.3157734,12457,13326,207.5991696,222.0991116,1283.244867,1297.744809,76994,77863
2,The Peanut Butter Falcon,3,16,18,13400,15870,223.3157734,264.498942,13327,15797,222.0991116,263.2822802,1297.744809,1338.9279776,77864,80334
2,The Peanut Butter Falcon,3,17,19,15871,21109,264.498942,351.8152594,15798,21036,263.2822802,350.5985976,1338.9279776,1426.244295,80335,85573
2,The Peanut Butter Falcon,3,18,20,21110,27226,351.8152594,453.7648516,21037,27153,350.5985976,452.5481898,1426.244295,1528.1938872,85574,91690
2,The Peanut Butter Falcon,4,19,22,85,1174,1.3999944,19.5665884,12,1101,0.1833326,18.3499266,1528.5105526,1546.6771466,91709,92798
2,The Peanut Butter Falcon,4,20,23,1175,2803,19.5665884,46.7164798,1102,2730,18.3499266,45.499818,1546.6771466,1573.827038,92799,94427
