stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
3,Whiplash,1,1,1,74,5239,1.2166618,87.3163174,1,5166,0,86.0996556,0,86.0996556,1,5166
3,Whiplash,1,2,2,5240,14986,87.3163174,249.7656676,5167,14913,86.0996556,248.5490058,86.0996556,248.5490058,5167,14913
3,Whiplash,1,3,3,14987,18681,249.7656676,311.3487546,14914,18608,248.5490058,310.1320928,248.5490058,310.1320928,14914,18608
3,Whiplash,1,4,4,18682,19672,311.3487546,327.8653552,18609,19599,310.1320928,326.6486934,310.1320928,326.6486934,18609,19599
3,Whiplash,1,5,5,19673,23440,327.8653552,390.665104,19600,23367,326.6486934,389.4484422,326.6486934,389.4484422,19600,23367
3,Whiplash,1,6,6,23441,24616,390.665104,410.2650256,23368,24543,389.4484422,409.0483638,389.4484422,409.0483638,23368,24543
3,Whiplash,2,7,8,85,6397,1.3999944,106.6162402,12,6324,0.1833326,105.3995784,411.915019,517.1312648,24715,31027
3,Whiplash,2,8,9,6398,8884,106.6162402,148.0660744,6325,8811,105.3995784,146.8494126,517.1312648,558.581099,31028,33514
3,Whiplash,2,9,10,8885,10042,148.0660744,167.3659972,8812,9969,146.8494126,166.1493354,558.581099,577.8810218,33515,34672
3,Whiplash,2,10,11,10043,11821,167.3659972,197.0158786,9970,11748,166.1493354,195.7992168,577.8810218,607.5309032,34673,36451
3,Whiplash,2,11,12,11822,22224,197.0158786,370.3985184,11749,22151,195.7992168,369.1818566,607.5309032,780.913543,36452,46854
3,Whiplash,2,12,13,22225,27724,370.3985184,462.0648184,22152,27651,369.1818566,460.8481566,780.913543,872.579843,46855,52354
3,Whiplash,3,13,15,86,817,1.416661,13.6166122,13,744,0.1999992,12.3999504,874.7298344,886.9297856,52483,53214
3,Whiplash,3,14,16,818,3072,13.6166122,51.1997952,745,2999,12.3999504,49.9831334,886.9297856,924.5129686,53215,55469
3,Whiplash,3,15,17,3073,29779,51.1997952,496.3146814,3000,29706,49.9831334,495.0980196,924.5129686,1369.6278548,55470,82176
3,Whiplash,3,16,18,29780,35521,496.3146814,592.0142986,29707,35448,495.0980196,590.7976368,1369.6278548,1465.327472,82177,87918
3,Whiplash,4,17,20,86,19861,1.416661,331.0153426,13,19788,0.1999992,329.7986808,1466.8607992,1796.4594808,88010,107785
3,Whiplash,4,18,21,19862,20467,331.0153426,341.1153022,19789,20394,329.7986808,339.8986404,1796.4594808,1806.5594404,107786,108391
3,Whiplash,5,19,23,244,2401,4.0499838,40.0165066,171,2328,2.833322,38.7998448,1809.492762,1845.4592848,108567,110724
3,Whiplash,5,20,24,2402,3070,40.0165066,51.166462,2329,2997,38.7998448,49.9498002,1845.4592848,1856.6092402,110725,111393
3,Whiplash,5,21,25,3071,4126,51.166462,68.7663916,2998,4053,49.9498002,67.5497298,1856.6092402,1874.2091698,111394,112449
3,Whiplash,5,22,26,4127,8241,68.7663916,137.3494506,4054,8168,67.5497298,136.1327888,1874.2091698,1942.7922288,112450,116564
3,Whiplash,5,23,27,8242,19927,137.3494506,332.1153382,8169,19854,136.1327888,330.8986764,1942.7922288,2137.5581164,116565,128250
3,Whiplash,5,24,28,19928,20355,332.1153382,339.248643,19855,20282,330.8986764,338.0319812,2137.5581164,2144.6914212,128251,128678
3,Whiplash,6,25,30,86,2334,1.416661,38.8998444,13,2261,0.1999992,37.6831826,2144.908087,2182.3912704,128691,130939
3,Whiplash,6,26,31,2335,5782,38.8998444,96.3662812,2262,5709,37.6831826,95.1496194,2182.3912704,2239.8577072,130940,134387
3,Whiplash,6,27,32,5783,10887,96.3662812,181.4492742,5710,10814,95.1496194,180.2326124,2239.8577072,2324.9407002,134388,139492
3,Whiplash,6,28,33,10888,11224,181.4492742,187.0659184,10815,11151,180.2326124,185.8492566,2324.9407002,2330.5573444,139493,139829
3,Whiplash,6,29,34,11225,14190,187.0659184,236.499054,11152,14117,185.8492566,235.2823922,2330.5573444,2379.99048,139830,142795
3,Whiplash,6,30,35,14191,18492,236.499054,308.1987672,14118,18419,235.2823922,306.9821054,2379.99048,2451.6901932,142796,147097
3,Whiplash,6,31,36,18493,23860,308.1987672,397.665076,18420,23787,306.9821054,396.4484142,2451.6901932,2541.156502,147098,152465
3,Whiplash,6,32,37,23861,24355,397.665076,405.915043,23788,24282,396.4484142,404.6983812,2541.156502,2549.406469,152466,152960
3,Whiplash,6,33,38,24356,27957,405.915043,465.9481362,24283,27884,404.6983812,464.7314744,2549.406469,2609.4395622,152961,156562
3,Whiplash,7,34,40,88,1462,1.4499942,24.3665692,15,1389,0.2333324,23.1499074,2612.4728834,2635.3894584,156744,158118
3,Whiplash,7,35,41,1463,2752,24.3665692,45.8664832,1390,2679,23.1499074,44.6498214,2635.3894584,2656.8893724,158119,159408
3,Whiplash,7,36,42,2753,12324,45.8664832,205.3991784,2680,12251,44.6498214,204.1825166,2656.8893724,2816.4220676,159409,168980
3,Whiplash,8,37,44,88,13207,1.4499942,220.1157862,15,13134,0.2333324,218.8991244,2816.7053998,3035.3711918,168997,182116
3,Whiplash,8,38,45,13208,20260,220.1157862,337.665316,13135,20187,218.8991244,336.4486542,3035.3711918,3152.9207216,182117,189169
3,Whiplash,8,39,46,20261,22714,337.665316,378.5651524,20188,22641,336.4486542,377.3484906,3152.9207216,3193.820558,189170,191623
3,Whiplash,9,40,48,89,17778,1.4666608,296.2988148,16,17705,0.249999,295.082153,3194.1705566,3489.0027106,191644,209333
3,Whiplash,9,41,49,17779,20853,296.2988148,347.5486098,17706,20780,295.082153,346.331948,3489.0027106,3540.2525056,209334,212408
3,Whiplash,9,42,50,20854,21475,347.5486098,357.915235,20781,21402,346.331948,356.6985732,3540.2525056,3550.6191308,212409,213030
3,Whiplash,9,43,51,21476,30751,357.915235,512.5146166,21403,30678,356.6985732,511.2979548,3550.6191308,3705.2185124,213031,222306
3,Whiplash,9,44,52,30752,33868,512.5146166,564.4644088,30679,33795,511.2979548,563.247747,3705.2185124,3757.1683046,222307,225423
3,Whiplash,10,45,54,88,1993,1.4499942,33.2165338,15,1920,0.2333324,31.999872,3759.3349626,3791.1015022,225553,227458
3,Whiplash,10,46,55,1994,5812,33.2165338,96.8662792,1921,5739,31.999872,95.6496174,3791.1015022,3854.7512476,227459,231277
3,Whiplash,10,47,56,5813,11833,96.8662792,197.2158778,5740,11760,95.6496174,195.999216,3854.7512476,3955.1008462,231278,237298
3,Whiplash,10,48,57,11834,18400,197.2158778,306.66544,11761,18327,195.999216,305.4487782,3955.1008462,4064.5504084,237299,243865
3,Whiplash,10,49,58,18401,28398,306.66544,473.2981068,18328,28325,305.4487782,472.081445,4064.5504084,4231.1830752,243866,253863
3,Whiplash,11,50,60,89,3646,1.4666608,60.7664236,16,3573,0.249999,59.5497618,4232.6830692,4291.982832,253953,257510
3,Whiplash,11,51,61,3647,5212,60.7664236,86.8663192,3574,5139,59.5497618,85.6496574,4291.982832,4318.0827276,257511,259076
3,Whiplash,11,52,62,5213,9292,86.8663192,154.8660472,5140,9219,85.6496574,153.6493854,4318.0827276,4386.0824556,259077,263156
3,Whiplash,11,53,63,9293,12594,154.8660472,209.8991604,9220,12521,153.6493854,208.6824986,4386.0824556,4441.1155688,263157,266458
3,Whiplash,12,54,65,254,636,4.2166498,10.5999576,181,563,2.999988,9.3832958,4447.065545,4453.4488528,266815,267197
3,Whiplash,12,55,66,637,1702,10.5999576,28.3665532,564,1629,9.3832958,27.1498914,4453.4488528,4471.2154484,267198,268263
3,Whiplash,12,56,67,1703,2980,28.3665532,49.666468,1630,2907,27.1498914,48.4498062,4471.2154484,4492.5153632,268264,269541
3,Whiplash,12,57,68,2981,5002,49.666468,83.3663332,2908,4929,48.4498062,82.1496714,4492.5153632,4526.2152284,269542,271563
3,Whiplash,12,58,69,5003,7032,83.3663332,117.1995312,4930,6959,82.1496714,115.9828694,4526.2152284,4560.0484264,271564,273593
3,Whiplash,12,59,70,7033,13543,117.1995312,225.7157638,6960,13470,115.9828694,224.499102,4560.0484264,4668.564659,273594,280104
3,Whiplash,13,60,72,89,15328,1.4666608,255.4656448,16,15255,0.249999,254.248983,4671.4146476,4925.4136316,280275,295514
3,Whiplash,13,61,73,15329,19114,255.4656448,318.5653924,15256,19041,254.248983,317.3487306,4925.4136316,4988.5133792,295515,299300
3,Whiplash,14,62,75,254,499,4.2166498,8.3166334,181,426,2.999988,7.0999716,4991.6966998,4995.7966834,299491,299736
3,Whiplash,14,63,76,500,1168,8.3166334,19.4665888,427,1095,7.0999716,18.249927,4995.7966834,5006.9466388,299737,300405
3,Whiplash,14,64,77,1169,8614,19.4665888,143.5660924,1096,8541,18.249927,142.3494306,5006.9466388,5131.0461424,300406,307851
3,Whiplash,15,65,79,199,820,3.2999868,13.666612,126,747,2.083325,12.4499502,5133.1794672,5143.5460924,307979,308600
3,Whiplash,15,66,80,821,1669,13.666612,27.8165554,748,1596,12.4499502,26.5998936,5143.5460924,5157.6960358,308601,309449
3,Whiplash,15,67,81,1670,3187,27.8165554,53.1164542,1597,3114,26.5998936,51.8997924,5157.6960358,5182.9959346,309450,310967
3,Whiplash,15,68,82,3188,23167,53.1164542,386.1151222,3115,23094,51.8997924,384.8984604,5182.9959346,5515.9946026,310968,330947
3,Whiplash,16,69,84,88,34966,1.4499942,582.7643356,15,34893,0.2333324,581.5476738,5518.7112584,6100.0255998,331110,365988
3,Whiplash,16,70,85,34967,37168,582.7643356,619.4641888,34894,37095,581.5476738,618.247527,6100.0255998,6136.725453,365989,368190
