stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
4,Room,1,1,1,74,3019,1.2166618,50.3164654,1,2946,0,49.0998036,0,49.0998036,1,2946
4,Room,1,2,2,3020,3226,50.3164654,53.7664516,2947,3153,49.0998036,52.5497898,49.0998036,52.5497898,2947,3153
4,Room,1,3,3,3227,4018,53.7664516,66.9663988,3154,3945,52.5497898,65.749737,52.5497898,65.749737,3154,3945
4,Room,1,4,4,4019,5857,66.9663988,97.6162762,3946,5784,65.749737,96.3996144,65.749737,96.3996144,3946,5784
4,Room,1,5,5,5858,19138,97.6162762,318.9653908,5785,19065,96.3996144,317.748729,96.3996144,317.748729,5785,19065
4,Room,1,6,6,19139,21388,318.9653908,356.4652408,19066,21315,317.748729,355.248579,317.748729,355.248579,19066,21315
4,Room,1,7,7,21389,25542,356.4652408,425.6982972,21316,25469,355.248579,424.4816354,355.248579,424.4816354,21316,25469
4,Room,2,8,9,82,1122,1.3499946,18.6999252,9,1049,0.1333328,17.4832634,427.5149566,444.8648872,25651,26691
4,Room,2,9,10,1123,2491,18.6999252,41.5165006,1050,2418,17.4832634,40.2998388,444.8648872,467.6814626,26692,28060
4,Room,2,10,11,2492,7018,41.5165006,116.9661988,2419,6945,40.2998388,115.749537,467.6814626,543.1311608,28061,32587
4,Room,2,11,12,7019,12379,116.9661988,206.3158414,6946,12306,115.749537,205.0991796,543.1311608,632.4808034,32588,37948
4,Room,2,12,13,12380,13410,206.3158414,223.499106,12307,13337,205.0991796,222.2824442,632.4808034,649.664068,37949,38979
4,Room,2,13,14,13411,15130,223.499106,252.165658,13338,15057,222.2824442,250.9489962,649.664068,678.33062,38980,40699
4,Room,2,14,15,15131,19018,252.165658,316.9653988,15058,18945,250.9489962,315.748737,678.33062,743.1303608,40700,44587
4,Room,3,15,17,82,3492,1.3499946,58.1997672,9,3419,0.1333328,56.9831054,743.2970268,800.1467994,44597,48007
4,Room,3,16,18,3493,13632,58.1997672,227.1990912,3420,13559,56.9831054,225.9824294,800.1467994,969.1461234,48008,58147
4,Room,3,17,19,13633,17031,227.1990912,283.8488646,13560,16958,225.9824294,282.6322028,969.1461234,1025.7958968,58148,61546
4,Room,3,18,20,17032,21544,283.8488646,359.0652304,16959,21471,282.6322028,357.8485686,1025.7958968,1101.0122626,61547,66059
4,Room,3,19,21,21545,23371,359.0652304,389.5151086,21472,23298,357.8485686,388.2984468,1101.0122626,1131.4621408,66060,67886
4,Room,3,20,22,23372,34582,389.5151086,576.3643612,23299,34509,388.2984468,575.1476994,1131.4621408,1318.3113934,67887,79097
4,Room,3,21,23,34583,43681,576.3643612,728.0137546,34510,43608,575.1476994,726.7970928,1318.3113934,1469.9607868,79098,88196
4,Room,4,22,25,83,4113,1.3666612,68.5497258,10,4040,0.1499994,67.333064,1470.160786,1537.3438506,88208,92238
4,Room,4,23,26,4114,24201,68.5497258,403.3483866,4041,24128,67.333064,402.1317248,1537.3438506,1872.1425114,92239,112326
