stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
6,Me Earl and the Dying Girl,1,1,1,74,3769,1.2166618,62.8164154,1,3696,0,61.5997536,0,61.5997536,1,3696
6,Me Earl and the Dying Girl,1,2,2,3770,5098,62.8164154,84.9663268,3697,5025,61.5997536,83.749665,61.5997536,83.749665,3697,5025
6,Me Earl and the Dying Girl,1,3,3,5099,7405,84.9663268,123.416173,5026,7332,83.749665,122.1995112,83.749665,122.1995112,5026,7332
6,Me Earl and the Dying Girl,1,4,4,7406,8689,123.416173,144.8160874,7333,8616,122.1995112,143.5994256,122.1995112,143.5994256,7333,8616
6,Me Earl and the Dying Girl,2,5,6,86,1272,1.416661,21.1999152,13,1199,0.1999992,19.9832534,146.499414,166.2826682,8790,9976
6,Me Earl and the Dying Girl,2,6,7,1273,2343,21.1999152,39.0498438,1200,2270,19.9832534,37.833182,166.2826682,184.1325968,9977,11047
6,Me Earl and the Dying Girl,2,7,8,2344,2881,39.0498438,48.0164746,2271,2808,37.833182,46.7998128,184.1325968,193.0992276,11048,11585
6,Me Earl and the Dying Girl,2,8,9,2882,4864,48.0164746,81.0663424,2809,4791,46.7998128,79.8496806,193.0992276,226.1490954,11586,13568
6,Me Earl and the Dying Girl,2,9,10,4865,5686,81.0663424,94.7662876,4792,5613,79.8496806,93.5496258,226.1490954,239.8490406,13569,14390
6,Me Earl and the Dying Girl,2,10,11,5687,6427,94.7662876,107.1162382,5614,6354,93.5496258,105.8995764,239.8490406,252.1989912,14391,15131
6,Me Earl and the Dying Girl,2,11,12,6428,7758,107.1162382,129.2994828,6355,7685,105.8995764,128.082821,252.1989912,274.3822358,15132,16462
6,Me Earl and the Dying Girl,2,12,13,7759,12499,129.2994828,208.3158334,7686,12426,128.082821,207.0991716,274.3822358,353.3985864,16463,21203
6,Me Earl and the Dying Girl,3,13,15,88,4173,1.4499942,69.5497218,15,4100,0.2333324,68.33306,353.7152518,421.8149794,21222,25307
6,Me Earl and the Dying Girl,3,14,16,4174,4738,69.5497218,78.9663508,4101,4665,68.33306,77.749689,421.8149794,431.2316084,25308,25872
6,Me Earl and the Dying Girl,3,15,17,4739,8752,78.9663508,145.8660832,4666,8679,77.749689,144.6494214,431.2316084,498.1313408,25873,29886
6,Me Earl and the Dying Girl,3,16,18,8753,15940,145.8660832,265.665604,8680,15867,144.6494214,264.4489422,498.1313408,617.9308616,29887,37074
6,Me Earl and the Dying Girl,4,17,20,86,1051,1.416661,17.5165966,13,978,0.1999992,16.2999348,621.0308492,637.1307848,37260,38225
6,Me Earl and the Dying Girl,4,18,21,1052,5428,17.5165966,90.4663048,979,5355,16.2999348,89.249643,637.1307848,710.080493,38226,42602
6,Me Earl and the Dying Girl,4,19,22,5429,11449,90.4663048,190.8159034,5356,11376,89.249643,189.5992416,710.080493,810.4300916,42603,48623
6,Me Earl and the Dying Girl,5,20,24,85,9091,1.3999944,151.5160606,12,9018,0.1833326,150.2993988,810.7134238,960.82949,48640,57646
6,Me Earl and the Dying Girl,6,21,26,86,444,1.416661,7.3999704,13,371,0.1999992,6.1833086,962.2294844,968.2127938,57730,58088
6,Me Earl and the Dying Girl,6,22,27,445,2032,7.3999704,33.8665312,372,1959,6.1833086,32.6498694,968.2127938,994.6793546,58089,59676
6,Me Earl and the Dying Girl,6,23,28,2033,3850,33.8665312,64.16641,1960,3777,32.6498694,62.9497482,994.6793546,1024.9792334,59677,61494
6,Me Earl and the Dying Girl,6,24,29,3851,4942,64.16641,82.3663372,3778,4869,62.9497482,81.1496754,1024.9792334,1043.1791606,61495,62586
6,Me Earl and the Dying Girl,6,25,30,4943,7135,82.3663372,118.916191,4870,7062,81.1496754,117.6995292,1043.1791606,1079.7290144,62587,64779
6,Me Earl and the Dying Girl,6,26,31,7136,11326,118.916191,188.7659116,7063,11253,117.6995292,187.5492498,1079.7290144,1149.578735,64780,68970
6,Me Earl and the Dying Girl,6,27,32,11327,14683,188.7659116,244.7156878,11254,14610,187.5492498,243.499026,1149.578735,1205.5285112,68971,72327
6,Me Earl and the Dying Girl,7,28,34,83,3214,1.3666612,53.5664524,10,3141,0.1499994,52.3497906,1208.3285,1260.5282912,72495,75626
6,Me Earl and the Dying Girl,7,29,35,3215,14179,53.5664524,236.3157214,3142,14106,52.3497906,235.0990596,1260.5282912,1443.2775602,75627,86591
6,Me Earl and the Dying Girl,8,30,37,86,490,1.416661,8.166634,13,417,0.1999992,6.9499722,1446.2775482,1453.0275212,86771,87175
6,Me Earl and the Dying Girl,8,31,38,491,942,8.166634,15.6999372,418,869,6.9499722,14.4832754,1453.0275212,1460.5608244,87176,87627
6,Me Earl and the Dying Girl,8,32,39,943,1510,15.6999372,25.166566,870,1437,14.4832754,23.9499042,1460.5608244,1470.0274532,87628,88195
6,Me Earl and the Dying Girl,8,33,40,1511,2293,25.166566,38.2165138,1438,2220,23.9499042,36.999852,1470.0274532,1483.077401,88196,88978
6,Me Earl and the Dying Girl,8,34,41,2294,5095,38.2165138,84.916327,2221,5022,36.999852,83.6996652,1483.077401,1529.7772142,88979,91780
6,Me Earl and the Dying Girl,8,35,42,5096,11272,84.916327,187.8659152,5023,11199,83.6996652,186.6492534,1529.7772142,1632.7268024,91781,97957
6,Me Earl and the Dying Girl,9,36,44,86,3384,1.416661,56.3997744,13,3311,0.1999992,55.1831126,1632.9768014,1687.9599148,97972,101270
6,Me Earl and the Dying Girl,9,37,45,3385,6382,56.3997744,106.3662412,3312,6309,55.1831126,105.1495794,1687.9599148,1737.9263816,101271,104268
6,Me Earl and the Dying Girl,9,38,46,6383,14143,106.3662412,235.7157238,6310,14070,105.1495794,234.499062,1737.9263816,1867.2758642,104269,112029
6,Me Earl and the Dying Girl,10,39,48,85,3934,1.3999944,65.5664044,12,3861,0.1833326,64.3497426,1867.5425298,1931.7089398,112045,115894
6,Me Earl and the Dying Girl,10,40,49,3935,5215,65.5664044,86.916319,3862,5142,64.3497426,85.6996572,1931.7089398,1953.0588544,115895,117175
6,Me Earl and the Dying Girl,10,41,50,5216,7113,86.916319,118.5495258,5143,7040,85.6996572,117.332864,1953.0588544,1984.6920612,117176,119073
6,Me Earl and the Dying Girl,10,42,51,7114,11992,118.5495258,199.8658672,7041,11919,117.332864,198.6492054,1984.6920612,2066.0084026,119074,123952
6,Me Earl and the Dying Girl,11,43,53,85,6862,1.3999944,114.3662092,12,6789,0.1833326,113.1495474,2067.0417318,2180.0079466,124014,130791
6,Me Earl and the Dying Girl,11,44,54,6863,12762,114.3662092,212.6991492,6790,12689,113.1495474,211.4824874,2180.0079466,2278.3408866,130792,136691
6,Me Earl and the Dying Girl,11,45,55,12763,14308,212.6991492,238.4657128,12690,14235,211.4824874,237.249051,2278.3408866,2304.1074502,136692,138237
6,Me Earl and the Dying Girl,11,46,56,14309,16756,238.4657128,279.2655496,14236,16683,237.249051,278.0488878,2304.1074502,2344.907287,138238,140685
6,Me Earl and the Dying Girl,11,47,57,16757,19447,279.2655496,324.1153702,16684,19374,278.0488878,322.8987084,2344.907287,2389.7571076,140686,143376
6,Me Earl and the Dying Girl,11,48,58,19448,21738,324.1153702,362.2985508,19375,21665,322.8987084,361.081889,2389.7571076,2427.9402882,143377,145667
6,Me Earl and the Dying Girl,12,49,60,86,1507,1.416661,25.1165662,13,1434,0.1999992,23.8999044,2428.8069514,2452.5068566,145719,147140
6,Me Earl and the Dying Girl,12,50,61,1508,11196,25.1165662,186.5992536,1435,11123,23.8999044,185.3825918,2452.5068566,2613.989544,147141,156829
6,Me Earl and the Dying Girl,13,51,63,86,388,1.416661,6.4666408,13,315,0.1999992,5.249979,2615.8395366,2620.8895164,156940,157242
6,Me Earl and the Dying Girl,13,52,64,389,4818,6.4666408,80.2996788,316,4745,5.249979,79.083017,2620.8895164,2694.7225544,157243,161672
6,Me Earl and the Dying Girl,13,53,65,4819,5290,80.2996788,88.166314,4746,5217,79.083017,86.9496522,2694.7225544,2702.5891896,161673,162144
6,Me Earl and the Dying Girl,13,54,66,5291,6675,88.166314,111.249555,5218,6602,86.9496522,110.0328932,2702.5891896,2725.6724306,162145,163529
6,Me Earl and the Dying Girl,13,55,67,6676,7230,111.249555,120.499518,6603,7157,110.0328932,119.2828562,2725.6724306,2734.9223936,163530,164084
6,Me Earl and the Dying Girl,14,56,69,88,739,1.4499942,12.3166174,15,666,0.2333324,11.0999556,2735.1723926,2746.0390158,164099,164750
6,Me Earl and the Dying Girl,14,57,70,740,13855,12.3166174,230.915743,667,13782,11.0999556,229.6990812,2746.0390158,2964.6381414,164751,177866
6,Me Earl and the Dying Girl,15,58,72,86,1438,1.416661,23.9665708,13,1365,0.1999992,22.749909,2967.2881308,2989.8380406,178025,179377
6,Me Earl and the Dying Girl,15,59,73,1439,2050,23.9665708,34.16653,1366,1977,22.749909,32.9498682,2989.8380406,3000.0379998,179378,179989
6,Me Earl and the Dying Girl,15,60,74,2051,3672,34.16653,61.1997552,1978,3599,32.9498682,59.9830934,3000.0379998,3027.071225,179990,181611
6,Me Earl and the Dying Girl,15,61,75,3673,7719,61.1997552,128.6494854,3600,7646,59.9830934,127.4328236,3027.071225,3094.5209552,181612,185658
6,Me Earl and the Dying Girl,15,62,76,7720,10798,128.6494854,179.9659468,7647,10725,127.4328236,178.749285,3094.5209552,3145.8374166,185659,188737
6,Me Earl and the Dying Girl,15,63,77,10799,13645,179.9659468,227.415757,10726,13572,178.749285,226.1990952,3145.8374166,3193.2872268,188738,191584
6,Me Earl and the Dying Girl,16,64,79,83,8529,1.3666612,142.1494314,10,8456,0.1499994,140.9327696,3193.487226,3334.2699962,191596,200042
6,Me Earl and the Dying Girl,16,65,80,8530,10915,142.1494314,181.915939,8457,10842,140.9327696,180.6992772,3334.2699962,3374.0365038,200043,202428
6,Me Earl and the Dying Girl,16,66,81,10916,12520,181.915939,208.665832,10843,12447,180.6992772,207.4491702,3374.0365038,3400.7863968,202429,204033
6,Me Earl and the Dying Girl,17,67,83,85,10237,1.3999944,170.6159842,12,10164,0.1833326,169.3993224,3401.0197292,3570.235719,204047,214199
6,Me Earl and the Dying Girl,18,68,85,85,2644,1.3999944,44.0664904,12,2571,0.1833326,42.8498286,3571.8690458,3614.5355418,214297,216856
6,Me Earl and the Dying Girl,18,69,86,2645,2878,44.0664904,47.9664748,2572,2805,42.8498286,46.749813,3614.5355418,3618.4355262,216857,217090
6,Me Earl and the Dying Girl,18,70,87,2879,3840,47.9664748,63.999744,2806,3767,46.749813,62.7830822,3618.4355262,3634.4687954,217091,218052
6,Me Earl and the Dying Girl,18,71,88,3841,4746,63.999744,79.0996836,3768,4673,62.7830822,77.8830218,3634.4687954,3649.568735,218053,218958
6,Me Earl and the Dying Girl,18,72,89,4747,26740,79.0996836,445.664884,4674,26667,77.8830218,444.4482222,3649.568735,4016.1339354,218959,240952
6,Me Earl and the Dying Girl,18,73,90,26741,27733,445.664884,462.2148178,26668,27660,444.4482222,460.998156,4016.1339354,4032.6838692,240953,241945
6,Me Earl and the Dying Girl,19,74,92,85,429,1.3999944,7.1499714,12,356,0.1833326,5.9333096,4033.0172012,4038.7671782,241965,242309
6,Me Earl and the Dying Girl,19,75,93,430,6205,7.1499714,103.416253,357,6132,5.9333096,102.1995912,4038.7671782,4135.0334598,242310,248085
6,Me Earl and the Dying Girl,19,76,94,6206,15652,103.416253,260.8656232,6133,15579,102.1995912,259.6489614,4135.0334598,4292.48283,248086,257532
6,Me Earl and the Dying Girl,20,77,96,86,577,1.416661,9.6166282,13,504,0.1999992,8.3999664,4292.816162,4301.0161292,257552,258043
6,Me Earl and the Dying Girl,20,78,97,578,2055,9.6166282,34.249863,505,1982,8.3999664,33.0332012,4301.0161292,4325.649364,258044,259521
6,Me Earl and the Dying Girl,20,79,98,2056,6522,34.249863,108.6995652,1983,6449,33.0332012,107.4829034,4325.649364,4400.0990662,259522,263988
6,Me Earl and the Dying Girl,20,80,99,6523,9928,108.6995652,165.4660048,6450,9855,107.4829034,164.249343,4400.0990662,4456.8655058,263989,267394
6,Me Earl and the Dying Girl,21,81,101,88,4689,1.4499942,78.1496874,15,4616,0.2333324,76.9330256,4459.9988266,4536.6985198,267582,272183
6,Me Earl and the Dying Girl,21,82,102,4690,12436,78.1496874,207.2658376,4617,12363,76.9330256,206.0491758,4536.6985198,4665.81467,272184,279930
6,Me Earl and the Dying Girl,21,83,103,12437,13237,207.2658376,220.6157842,12364,13164,206.0491758,219.3991224,4665.81467,4679.1646166,279931,280731
6,Me Earl and the Dying Girl,22,84,105,86,373,1.416661,6.2166418,13,300,0.1999992,4.99998,4682.4479368,4687.2479176,280928,281215
6,Me Earl and the Dying Girl,22,85,106,374,1374,6.2166418,22.8999084,301,1301,4.99998,21.6832466,4687.2479176,4703.9311842,281216,282216
6,Me Earl and the Dying Girl,22,86,107,1375,3249,22.8999084,54.1497834,1302,3176,21.6832466,52.9331216,4703.9311842,4735.1810592,282217,284091
6,Me Earl and the Dying Girl,22,87,108,3250,6088,54.1497834,101.4662608,3177,6015,52.9331216,100.249599,4735.1810592,4782.4975366,284092,286930
6,Me Earl and the Dying Girl,22,88,109,6089,10008,101.4662608,166.7993328,6016,9935,100.249599,165.582671,4782.4975366,4847.8306086,286931,290850
6,Me Earl and the Dying Girl,23,89,111,86,5145,1.416661,85.749657,13,5072,0.1999992,84.5329952,4848.147274,4932.48027,290869,295928
6,Me Earl and the Dying Girl,23,90,112,5146,7828,85.749657,130.4661448,5073,7755,84.5329952,129.249483,4932.48027,4977.1967578,295929,298611
6,Me Earl and the Dying Girl,23,91,113,7829,9225,130.4661448,153.749385,7756,9152,129.249483,152.5327232,4977.1967578,5000.479998,298612,300008
6,Me Earl and the Dying Girl,24,92,115,86,1450,1.416661,24.16657,13,1377,0.1999992,22.9499082,5001.7966594,5024.5465684,300087,301451
6,Me Earl and the Dying Girl,24,93,116,1451,23022,24.16657,383.6984652,1378,22949,22.9499082,382.4818034,5024.5465684,5384.0784636,301452,323023
6,Me Earl and the Dying Girl,24,94,117,23023,25854,383.6984652,430.8982764,22950,25781,382.4818034,429.6816146,5384.0784636,5431.2782748,323024,325855
6,Me Earl and the Dying Girl,25,95,119,88,4633,1.4499942,77.2163578,15,4560,0.2333324,75.999696,5434.478262,5510.2446256,326047,330592
