stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
9,The Tomorrow Man,1,1,1,74,4533,1.2166618,75.5496978,1,4460,0,74.333036,0,74.333036,1,4460
9,The Tomorrow Man,1,2,2,4534,12957,75.5496978,215.9491362,4461,12884,74.333036,214.7324744,74.333036,214.7324744,4461,12884
9,The Tomorrow Man,2,3,4,83,2506,1.3666612,41.7664996,10,2433,0.1499994,40.5498378,217.8491286,258.248967,13071,15494
9,The Tomorrow Man,2,4,5,2507,2842,41.7664996,47.3664772,2434,2769,40.5498378,46.1498154,258.248967,263.8489446,15495,15830
9,The Tomorrow Man,2,5,6,2843,4179,47.3664772,69.6497214,2770,4106,46.1498154,68.4330596,263.8489446,286.1321888,15831,17167
9,The Tomorrow Man,2,6,7,4180,5122,69.6497214,85.3663252,4107,5049,68.4330596,84.1496634,286.1321888,301.8487926,17168,18110
9,The Tomorrow Man,2,7,8,5123,5766,85.3663252,96.0996156,5050,5693,84.1496634,94.8829538,301.8487926,312.582083,18111,18754
9,The Tomorrow Man,2,8,9,5767,12076,96.0996156,201.2658616,5694,12003,94.8829538,200.0491998,312.582083,417.748329,18755,25064
9,The Tomorrow Man,2,9,10,12077,14194,201.2658616,236.5657204,12004,14121,200.0491998,235.3490586,417.748329,453.0481878,25065,27182
9,The Tomorrow Man,2,10,11,14195,16165,236.5657204,269.415589,14122,16092,235.3490586,268.1989272,453.0481878,485.8980564,27183,29153
9,The Tomorrow Man,3,11,13,88,1986,1.4499942,33.0998676,15,1913,0.2333324,31.8832058,486.2313884,517.8812618,29173,31071
9,The Tomorrow Man,3,12,14,1987,3556,33.0998676,59.2664296,1914,3483,31.8832058,58.0497678,517.8812618,544.0478238,31072,32641
9,The Tomorrow Man,3,13,15,3557,5772,59.2664296,96.1996152,3484,5699,58.0497678,94.9829534,544.0478238,580.9810094,32642,34857
9,The Tomorrow Man,3,14,16,5773,8410,96.1996152,140.166106,5700,8337,94.9829534,138.9494442,580.9810094,624.9475002,34858,37495
9,The Tomorrow Man,3,15,17,8411,12178,140.166106,202.9658548,8338,12105,138.9494442,201.749193,624.9475002,687.747249,37496,41263
9,The Tomorrow Man,3,16,18,12179,12702,202.9658548,211.6991532,12106,12629,201.749193,210.4824914,687.747249,696.4805474,41264,41787
