stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
11,Dom Hemingway,1,1,1,74,2929,1.2166618,48.8164714,1,2856,0,47.5998096,0,47.5998096,1,2856
11,Dom Hemingway,1,2,2,2930,11199,48.8164714,186.6492534,2857,11126,47.5998096,185.4325916,47.5998096,185.4325916,2857,11126
11,Dom Hemingway,2,3,4,86,4957,1.416661,82.6163362,13,4884,0.1999992,81.3996744,185.6492574,266.8489326,11139,16010
11,Dom Hemingway,3,4,6,86,4255,1.416661,70.916383,13,4182,0.1999992,69.6997212,267.998928,337.49865,16079,20248
11,Dom Hemingway,3,5,7,4256,5466,70.916383,91.0996356,4183,5393,69.6997212,89.8829738,337.49865,357.6819026,20249,21459
11,Dom Hemingway,3,6,8,5467,7476,91.0996356,124.5995016,5394,7403,89.8829738,123.3828398,357.6819026,391.1817686,21460,23469
11,Dom Hemingway,4,7,10,85,7284,1.3999944,121.3995144,12,7211,0.1833326,120.1828526,394.2650896,514.2646096,23654,30853
11,Dom Hemingway,5,8,12,86,526,1.416661,8.7666316,13,453,0.1999992,7.5499698,514.664608,522.0145786,30877,31317
11,Dom Hemingway,5,9,13,527,9124,8.7666316,152.0660584,454,9051,7.5499698,150.8493966,522.0145786,665.3140054,31318,39915
11,Dom Hemingway,5,10,14,9125,11640,152.0660584,193.999224,9052,11567,150.8493966,192.7825622,665.3140054,707.247171,39916,42431
11,Dom Hemingway,6,11,16,88,6958,1.4499942,115.9662028,15,6885,0.2333324,114.749541,710.3971584,824.913367,42620,49490
11,Dom Hemingway,6,12,17,6959,8833,115.9662028,147.2160778,6886,8760,114.749541,145.999416,824.913367,856.163242,49491,51365
11,Dom Hemingway,6,13,18,8834,10407,147.2160778,173.4493062,8761,10334,145.999416,172.2326444,856.163242,882.3964704,51366,52939
11,Dom Hemingway,7,14,20,86,10732,1.416661,178.8659512,13,10659,0.1999992,177.6492894,885.2631256,1062.7124158,53111,63757
