stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
12,Life After Beth,1,1,1,74,1645,1.2166618,27.416557,1,1572,0,26.1998952,0,26.1998952,1,1572
12,Life After Beth,1,2,2,1646,3780,27.416557,62.999748,1573,3707,26.1998952,61.7830862,26.1998952,61.7830862,1573,3707
12,Life After Beth,1,3,3,3781,6460,62.999748,107.666236,3708,6387,61.7830862,106.4495742,61.7830862,106.4495742,3708,6387
12,Life After Beth,1,4,4,6461,11280,107.666236,187.999248,6388,11207,106.4495742,186.7825862,106.4495742,186.7825862,6388,11207
12,Life After Beth,1,5,5,11281,11926,187.999248,198.7658716,11208,11853,186.7825862,197.5492098,186.7825862,197.5492098,11208,11853
12,Life After Beth,1,6,6,11927,13095,198.7658716,218.249127,11854,13022,197.5492098,217.0324652,197.5492098,217.0324652,11854,13022
12,Life After Beth,1,7,7,13096,13882,218.249127,231.3657412,13023,13809,217.0324652,230.1490794,217.0324652,230.1490794,13023,13809
12,Life After Beth,1,8,8,13883,15069,231.3657412,251.1489954,13810,14996,230.1490794,249.9323336,230.1490794,249.9323336,13810,14996
12,Life After Beth,1,9,9,15070,16447,251.1489954,274.1155702,14997,16374,249.9323336,272.8989084,249.9323336,272.8989084,14997,16374
12,Life After Beth,1,10,10,16448,18745,274.1155702,312.415417,16375,18672,272.8989084,311.1987552,272.8989084,311.1987552,16375,18672
12,Life After Beth,2,11,12,77,9276,1.2666616,154.5993816,4,9203,0.0499998,153.3827198,312.9487482,466.2814682,18777,27976
12,Life After Beth,2,12,13,9277,11493,154.5993816,191.5492338,9204,11420,153.3827198,190.332572,466.2814682,503.2313204,27977,30193
12,Life After Beth,2,13,14,11494,14470,191.5492338,241.165702,11421,14397,190.332572,239.9490402,503.2313204,552.8477886,30194,33170
12,Life After Beth,3,14,16,79,1557,1.2999948,25.9498962,6,1484,0.083333,24.7332344,552.9644548,577.6143562,33177,34655
12,Life After Beth,3,15,17,1558,2401,25.9498962,40.0165066,1485,2328,24.7332344,38.7998448,577.6143562,591.6809666,34656,35499
12,Life After Beth,3,16,18,2402,6301,40.0165066,105.0162466,2329,6228,38.7998448,103.7995848,591.6809666,656.6807066,35500,39399
12,Life After Beth,3,17,19,6302,8599,105.0162466,143.3160934,6229,8526,103.7995848,142.0994316,656.6807066,694.9805534,39400,41697
12,Life After Beth,3,18,20,8600,20709,143.3160934,345.1486194,8527,20636,142.0994316,343.9319576,694.9805534,896.8130794,41698,53807
12,Life After Beth,3,19,21,20710,21222,345.1486194,353.6985852,20637,21149,343.9319576,352.4819234,896.8130794,905.3630452,53808,54320
