stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
13,Woodshock,1,1,1,74,1474,1.2166618,24.5665684,1,1401,0,23.3499066,0,23.3499066,1,1401
13,Woodshock,1,2,2,1475,4378,24.5665684,72.9663748,1402,4305,23.3499066,71.749713,23.3499066,71.749713,1402,4305
13,Woodshock,1,3,3,4379,5139,72.9663748,85.6496574,4306,5066,71.749713,84.4329956,71.749713,84.4329956,4306,5066
13,Woodshock,1,4,4,5140,18049,85.6496574,300.8154634,5067,17976,84.4329956,299.5988016,84.4329956,299.5988016,5067,17976
13,Woodshock,1,5,5,18050,20739,300.8154634,345.6486174,17977,20666,299.5988016,344.4319556,299.5988016,344.4319556,17977,20666
13,Woodshock,1,6,6,20740,20907,345.6486174,348.4486062,20667,20834,344.4319556,347.2319444,344.4319556,347.2319444,20667,20834
13,Woodshock,1,7,7,20908,21615,348.4486062,360.248559,20835,21542,347.2319444,359.0318972,347.2319444,359.0318972,20835,21542
13,Woodshock,1,8,8,21616,22231,360.248559,370.5151846,21543,22158,359.0318972,369.2985228,359.0318972,369.2985228,21543,22158
13,Woodshock,1,9,9,22232,22516,370.5151846,375.2651656,22159,22443,369.2985228,374.0485038,369.2985228,374.0485038,22159,22443
13,Woodshock,1,10,10,22517,23260,375.2651656,387.665116,22444,23187,374.0485038,386.4484542,374.0485038,386.4484542,22444,23187
13,Woodshock,1,11,11,23261,24931,387.665116,415.5150046,23188,24858,386.4484542,414.2983428,386.4484542,414.2983428,23188,24858
13,Woodshock,1,12,12,24932,30391,415.5150046,506.5146406,24859,30318,414.2983428,505.2979788,414.2983428,505.2979788,24859,30318
13,Woodshock,1,13,13,30392,32560,506.5146406,542.664496,30319,32487,505.2979788,541.4478342,505.2979788,541.4478342,30319,32487
13,Woodshock,1,14,14,32561,39951,542.664496,665.8473366,32488,39878,541.4478342,664.6306748,541.4478342,664.6306748,32488,39878
13,Woodshock,2,15,16,89,4552,1.4666608,75.8663632,16,4479,0.249999,74.6497014,665.497338,739.8970404,39930,44393
13,Woodshock,2,16,17,4553,9307,75.8663632,155.1160462,4480,9234,74.6497014,153.8993844,739.8970404,819.1467234,44394,49148
13,Woodshock,2,17,18,9308,10147,155.1160462,169.1159902,9235,10074,153.8993844,167.8993284,819.1467234,833.1466674,49149,49988
13,Woodshock,2,18,19,10148,12769,169.1159902,212.8158154,10075,12696,167.8993284,211.5991536,833.1466674,876.8464926,49989,52610
13,Woodshock,2,19,20,12770,13642,212.8158154,227.3657572,12697,13569,211.5991536,226.1490954,876.8464926,891.3964344,52611,53483
13,Woodshock,2,20,21,13643,15067,227.3657572,251.1156622,13570,14994,226.1490954,249.8990004,891.3964344,915.1463394,53484,54908
13,Woodshock,2,21,22,15068,22870,251.1156622,381.165142,14995,22797,249.8990004,379.9484802,915.1463394,1045.1958192,54909,62711
13,Woodshock,2,22,23,22871,24586,381.165142,409.7650276,22798,24513,379.9484802,408.5483658,1045.1958192,1073.7957048,62712,64427
13,Woodshock,2,23,24,24587,25129,409.7650276,418.8149914,24514,25056,408.5483658,417.5983296,1073.7957048,1082.8456686,64428,64970
