stimuli_id,stimuli_title,chapter,scene_no,scene_no_old,scene_start_frame_padded,scene_end_frame_padded,scene_start_time_padded,scene_end_time_padded,scene_start_frame_unpadded,scene_end_frame_unpadded,scene_start_time_unpadded,scene_end_time_unpadded,scene_start_time_unpadded_cumulative,scene_end_time_unpadded_cumulative,scene_start_frame_unpadded_cumulative,scene_end_frame_unpadded_cumulative
14,The Comedian,1,1,1,74,1863,1.2166618,31.0498758,1,1790,0,29.833214,0,29.833214,1,1790
14,The Comedian,1,2,2,1864,4869,31.0498758,81.1496754,1791,4796,29.833214,79.9330136,29.833214,79.9330136,1791,4796
14,The Comedian,1,3,3,4870,6142,81.1496754,102.3662572,4797,6069,79.9330136,101.1495954,79.9330136,101.1495954,4797,6069
14,The Comedian,1,4,4,6143,6655,102.3662572,110.916223,6070,6582,101.1495954,109.6995612,101.1495954,109.6995612,6070,6582
14,The Comedian,1,5,5,6656,7603,110.916223,126.7161598,6583,7530,109.6995612,125.499498,109.6995612,125.499498,6583,7530
14,The Comedian,1,6,6,7604,8883,126.7161598,148.0494078,7531,8810,125.499498,146.832746,125.499498,146.832746,7531,8810
14,The Comedian,1,7,7,8884,10672,148.0494078,177.8659552,8811,10599,146.832746,176.6492934,146.832746,176.6492934,8811,10599
14,The Comedian,1,8,8,10673,18535,177.8659552,308.915431,10600,18462,176.6492934,307.6987692,176.6492934,307.6987692,10600,18462
14,The Comedian,2,9,10,83,16951,1.3666612,282.5155366,10,16878,0.1499994,281.2988748,307.8987684,589.0476438,18474,35342
14,The Comedian,2,10,11,16952,26977,282.5155366,449.6148682,16879,26904,281.2988748,448.3982064,589.0476438,756.1469754,35343,45368
14,The Comedian,3,11,13,83,4078,1.3666612,67.9663948,10,4005,0.1499994,66.749733,758.8469646,825.4466982,45530,49525
14,The Comedian,3,12,14,4079,5281,67.9663948,88.0163146,4006,5208,66.749733,86.7996528,825.4466982,845.496618,49526,50728
14,The Comedian,3,13,15,5282,11143,88.0163146,185.7159238,5209,11070,86.7996528,184.499262,845.496618,943.1962272,50729,56590
14,The Comedian,3,14,16,11144,11347,185.7159238,189.1159102,11071,11274,184.499262,187.8992484,943.1962272,946.5962136,56591,56794
14,The Comedian,3,15,17,11348,19219,189.1159102,320.3153854,11275,19146,187.8992484,319.0987236,946.5962136,1077.7956888,56795,64666
14,The Comedian,4,16,19,86,16549,1.416661,275.8155634,13,16476,0.1999992,274.5989016,1078.0456878,1352.4445902,64681,81144
14,The Comedian,4,17,20,16550,17037,275.8155634,283.9488642,16477,16964,274.5989016,282.7322024,1352.4445902,1360.577891,81145,81632
14,The Comedian,4,18,21,17038,17403,283.9488642,290.0488398,16965,17330,282.7322024,288.832178,1360.577891,1366.6778666,81633,81998
14,The Comedian,4,19,22,17404,21829,290.0488398,363.8152114,17331,21756,288.832178,362.5985496,1366.6778666,1440.4442382,81999,86424
14,The Comedian,4,20,23,21830,22732,363.8152114,378.8651512,21757,22659,362.5985496,377.6484894,1440.4442382,1455.494178,86425,87327
14,The Comedian,4,21,24,22733,30670,378.8651512,511.164622,22660,30597,377.6484894,509.9479602,1455.494178,1587.7936488,87328,95265
14,The Comedian,5,22,26,85,561,1.3999944,9.3499626,12,488,0.1833326,8.1333008,1588.076981,1596.0269492,95282,95758
14,The Comedian,5,23,27,562,2653,9.3499626,44.2164898,489,2580,8.1333008,42.999828,1596.0269492,1630.8934764,95759,97850
14,The Comedian,5,24,28,2654,3184,44.2164898,53.0664544,2581,3111,42.999828,51.8497926,1630.8934764,1639.743441,97851,98381
14,The Comedian,5,25,29,3185,3979,53.0664544,66.3164014,3112,3906,51.8497926,65.0997396,1639.743441,1652.993388,98382,99176
14,The Comedian,5,26,30,3980,5068,66.3164014,84.4663288,3907,4995,65.0997396,83.249667,1652.993388,1671.1433154,99177,100265
14,The Comedian,5,27,31,5069,10909,84.4663288,181.8159394,4996,10836,83.249667,180.5992776,1671.1433154,1768.492926,100266,106106
14,The Comedian,5,28,32,10910,21372,181.8159394,356.1985752,10837,21299,180.5992776,354.9819134,1768.492926,1942.8755618,106107,116569
14,The Comedian,5,29,33,21373,23575,356.1985752,392.915095,21300,23502,354.9819134,391.6984332,1942.8755618,1979.5920816,116570,118772
14,The Comedian,5,30,34,23576,24064,392.915095,401.0650624,23503,23991,391.6984332,399.8484006,1979.5920816,1987.742049,118773,119261
14,The Comedian,5,31,35,24065,27651,401.0650624,460.8481566,23992,27578,399.8484006,459.6314948,1987.742049,2047.5251432,119262,122848
14,The Comedian,6,32,37,85,12687,1.3999944,211.4491542,12,12614,0.1833326,210.2324924,2047.7251424,2257.7743022,122860,135462
14,The Comedian,6,33,38,12688,23014,211.4491542,383.5651324,12615,22941,210.2324924,382.3484706,2257.7743022,2429.8902804,135463,145789
14,The Comedian,6,34,39,23015,26425,383.5651324,440.414905,22942,26352,382.3484706,439.1982432,2429.8902804,2486.740053,145790,149200
14,The Comedian,7,35,41,85,1212,1.3999944,20.1999192,12,1139,0.1833326,18.9832574,2487.0067186,2505.8066434,149216,150343
14,The Comedian,7,36,42,1213,2796,20.1999192,46.5998136,1140,2723,18.9832574,45.3831518,2505.8066434,2532.2065378,150344,151927
14,The Comedian,7,37,43,2797,13561,46.5998136,226.0157626,2724,13488,45.3831518,224.7991008,2532.2065378,2711.6224868,151928,162692
14,The Comedian,7,38,44,13562,20533,226.0157626,342.2152978,13489,20460,224.7991008,340.998636,2711.6224868,2827.822022,162693,169664
14,The Comedian,8,39,46,85,22708,1.3999944,378.4651528,12,22635,0.1833326,377.248491,2828.2053538,3205.2705122,169687,192310
14,The Comedian,8,40,47,22709,27591,378.4651528,459.8481606,22636,27518,377.248491,458.6314988,3205.2705122,3286.65352,192311,197193
14,The Comedian,9,41,49,86,363,1.416661,6.0499758,13,290,0.1999992,4.833314,3289.8535072,3294.486822,197385,197662
14,The Comedian,9,42,50,364,2205,6.0499758,36.749853,291,2132,4.833314,35.5331912,3294.486822,3325.1866992,197663,199504
14,The Comedian,9,43,51,2206,23365,36.749853,389.415109,2133,23292,35.5331912,388.1984472,3325.1866992,3677.8519552,199505,220664
14,The Comedian,10,44,53,83,655,1.3666612,10.916623,10,582,0.1499994,9.6999612,3680.5519444,3690.1019062,220826,221398
14,The Comedian,10,45,54,656,17962,10.916623,299.3654692,583,17889,9.6999612,298.1488074,3690.1019062,3978.5507524,221399,238705
14,The Comedian,10,46,55,17963,18397,299.3654692,306.6154402,17890,18324,298.1488074,305.3987784,3978.5507524,3985.8007234,238706,239140
14,The Comedian,10,47,56,18398,20422,306.6154402,340.3653052,18325,20349,305.3987784,339.1486434,3985.8007234,4019.5505884,239141,241165
14,The Comedian,10,48,57,20423,21454,340.3653052,357.5652364,20350,21381,339.1486434,356.3485746,4019.5505884,4036.7505196,241166,242197
14,The Comedian,10,49,58,21455,26542,357.5652364,442.3648972,21382,26469,356.3485746,441.1482354,4036.7505196,4121.5501804,242198,247285
14,The Comedian,11,50,60,86,10300,1.416661,171.66598,13,10227,0.1999992,170.4493182,4121.8835124,4292.1328314,247305,257519
14,The Comedian,11,51,61,10301,10846,171.66598,180.7659436,10228,10773,170.4493182,179.5492818,4292.1328314,4301.232795,257520,258065
14,The Comedian,11,52,62,10847,12844,180.7659436,214.0658104,10774,12771,179.5492818,212.8491486,4301.232795,4334.5326618,258066,260063
14,The Comedian,11,53,63,12845,17440,214.0658104,290.665504,12772,17367,212.8491486,289.4488422,4334.5326618,4411.1323554,260064,264659
14,The Comedian,11,54,64,17441,32839,290.665504,547.3144774,17368,32766,289.4488422,546.0978156,4411.1323554,4667.7813288,264660,280058
14,The Comedian,11,55,65,32840,36202,547.3144774,603.3642532,32767,36129,546.0978156,602.1475914,4667.7813288,4723.8311046,280059,283421
14,The Comedian,12,56,67,85,1042,1.3999944,17.3665972,12,969,0.1833326,16.1499354,4724.0477704,4740.0143732,283434,284391
14,The Comedian,12,57,68,1043,8955,17.3665972,149.249403,970,8882,16.1499354,148.0327412,4740.0143732,4871.897179,284392,292304
14,The Comedian,12,58,69,8956,11656,149.249403,194.2658896,8883,11583,148.0327412,193.0492278,4871.897179,4916.9136656,292305,295005
